variant_id,Produsent,Modell,aar_fra,aar_til,batteri_kwh,rekkevidde_typisk,aliases,kommentar
hyundai-kona-39,Hyundai,Kona,2018,2023,39.2,305,SR|Standard|Standard Range|39 kWh|39kWh,Lite batteri foer 2024-refresh
hyundai-kona-64,Hyundai,Kona,2018,2023,64.0,484,LR|Long Range|64 kWh|64kWh,Stort batteri foer 2024-refresh
hyundai-kona-48,Hyundai,Kona,2024,2099,48.4,377,Standard|Standard Range|48 kWh|48kWh,2024-refresh lite batteri
hyundai-kona-65,Hyundai,Kona,2024,2099,65.4,514,"Maximum|Maximum Range|65 kWh|65kWh|65,4 kWh",2024-refresh stort batteri
hyundai-ioniq5-58,Hyundai,Ioniq 5,2021,2099,58.0,384,58 kWh|58kWh,Standard Range
hyundai-ioniq5-77,Hyundai,Ioniq 5,2021,2099,77.4,507,"77 kWh|77kWh|77,4 kWh|Long Range|LR",Long Range
hyundai-ioniq6-53,Hyundai,Ioniq 6,2022,2099,53.0,429,53 kWh|53kWh,Standard Range
hyundai-ioniq6-77,Hyundai,Ioniq 6,2022,2099,77.4,614,"77 kWh|77kWh|77,4 kWh|Long Range|LR",Long Range
kia-ev6-58,Kia,EV6,2021,2099,58.0,394,58 kWh|58kWh|Standard|Air,Standard Range
kia-ev6-77,Kia,EV6,2021,2099,77.4,528,"77 kWh|77kWh|77,4 kWh|Long Range|LR|GT-Line|Earth|GT",Long Range / GT
kia-niro-39,Kia,e-Niro,2018,2022,39.2,289,39 kWh|39kWh,Lite batteri
kia-niro-64,Kia,e-Niro,2018,2022,64.0,455,64 kWh|64kWh|Long Range|LR,Stort batteri
kia-niro-ev-65,Kia,Niro EV,2022,2099,64.8,460,64 kWh|64kWh|65 kWh|65kWh,Andre generasjon
vw-id3-45,Volkswagen,ID.3,2020,2099,45.0,352,45 kWh|45kWh|Pure,Lite batteri
vw-id3-58,Volkswagen,ID.3,2020,2099,58.0,426,58 kWh|58kWh|Pro,Mellombatteri
vw-id3-77,Volkswagen,ID.3,2020,2099,77.0,544,77 kWh|77kWh|Pro S|Tour,Stort batteri
vw-id4-52,Volkswagen,ID.4,2020,2099,52.0,344,52 kWh|52kWh|Pure,Lite batteri
vw-id4-77,Volkswagen,ID.4,2020,2099,77.0,520,77 kWh|77kWh|Pro|GTX,Stort batteri
vw-id5-77,Volkswagen,ID.5,2021,2099,77.0,520,77 kWh|77kWh|Pro|GTX,Stort batteri
vw-id7-77,Volkswagen,ID.7,2023,2099,77.0,615,77 kWh|77kWh|Pro,Standard
vw-id7-86,Volkswagen,ID.7,2023,2099,86.0,700,86 kWh|86kWh|Pro S|Tour,Stort batteri
audi-q4-52,Audi,Q4 e-tron,2021,2099,52.0,349,35|40|Q4 35,Lite batteri
audi-etron-71,Audi,e-tron,2018,2099,71.0,341,50 quattro|e-tron 50,GE 50 quattro
audi-etron-95,Audi,e-tron,2018,2099,95.0,436,55 quattro|e-tron 55|S quattro|Sportback 55,GE 55 / S / Sportback
audi-etron-gt,Audi,e-tron GT,2021,2099,93.4,488,GT|RS,Sedan
tesla-m3-sr,Tesla,Model 3,2017,2099,57.5,440,SR|Standard Range|Standard Plus|RWD,Bakhjulsdrift / Standard Range
tesla-m3-lr,Tesla,Model 3,2017,2099,82.0,580,LR|Long Range|Dual Motor|Maximum Range,Tohjulsdrift Long Range
tesla-m3-perf,Tesla,Model 3,2017,2099,82.0,547,Performance,Performance-utgave
tesla-my-sr,Tesla,Model Y,2020,2099,60.0,455,SR|Standard Range|RWD,Bakhjulsdrift / Standard Range
tesla-my-lr,Tesla,Model Y,2020,2099,75.0,533,LR|Long Range|Dual Motor|Maximum Range,Tohjulsdrift Long Range
tesla-my-perf,Tesla,Model Y,2020,2099,75.0,514,Performance,Performance-utgave
tesla-ms-lr,Tesla,Model S,2012,2099,100.0,634,Long Range|LR|100D|85D|90D|Raven|Dual Motor,Long Range / eldre 85-100D
tesla-ms-plaid,Tesla,Model S,2021,2099,100.0,600,Plaid|P100D|Performance,Plaid / Performance
tesla-mx-lr,Tesla,Model X,2015,2099,100.0,580,Long Range|LR|100D|90D|Dual Motor,Long Range
tesla-mx-plaid,Tesla,Model X,2021,2099,100.0,560,Plaid|P100D|Performance,Plaid / Performance
polestar2-sr,Polestar,2,2020,2099,64.0,470,SR|Standard Range|Standard|Single Motor,Standard Range
polestar2-lr,Polestar,2,2020,2099,78.0,592,LR|Long Range|Dual Motor,Long Range
volvo-xc40-sr,Volvo,XC40,2020,2099,69.0,460,SR|Single Motor|Recharge|Core,Single Motor / Core
volvo-xc40-lr,Volvo,XC40,2020,2099,78.0,500,LR|Twin|Twin Motor|Ultimate|Plus|Dual,Twin / Long Range
volvo-c40-sr,Volvo,C40,2021,2099,69.0,455,SR|Single Motor|Recharge|Core,Single Motor
volvo-c40-lr,Volvo,C40,2021,2099,78.0,485,LR|Twin|Twin Motor|Ultimate|Plus|Dual,Twin
volvo-ex30-sr,Volvo,EX30,2024,2099,51.0,344,SR|Single Motor,Single Motor
volvo-ex30-lr,Volvo,EX30,2024,2099,69.0,476,LR|Single Motor Extended Range|Twin|Twin Motor Performance|Performance,Extended Range / Twin
skoda-enyaq-52,Skoda,Enyaq,2021,2099,52.0,352,50|60 iV|Enyaq 60,Lite batteri
skoda-enyaq-77,Skoda,Enyaq,2021,2099,77.0,537,80|80x|85|85x|RS|Sportline|Coupe,Stort batteri
bmw-i3-22,BMW,i3,2014,2016,22.0,190,60 Ah|22 kWh|22kWh,Foerste generasjon
bmw-i3-33,BMW,i3,2017,2018,33.0,290,94 Ah|33 kWh|33kWh,Andre generasjon
bmw-i3-42,BMW,i3,2019,2022,42.0,310,120 Ah|42 kWh|42kWh,Tredje generasjon
bmw-ix3,BMW,iX3,2020,2099,74.0,460,iX3|Inspiring|Impressive|M Sport,Eneste variant
bmw-ix-xdrive40,BMW,iX,2021,2099,76.6,425,xDrive40|40,Lite batteri
bmw-ix-xdrive50,BMW,iX,2021,2099,111.5,630,xDrive50|50|M60,Stort batteri / M60
bmw-i4-40,BMW,i4,2021,2099,83.9,490,eDrive40|i4 40|40,Bakhjulsdrift
bmw-i4-m50,BMW,i4,2021,2099,83.9,510,M50|xDrive40,M50 / xDrive40
mercedes-eqa-66,Mercedes-Benz,EQA,2021,2099,66.5,426,250|300|350,Eneste vanlige variant
mercedes-eqb-66,Mercedes-Benz,EQB,2021,2099,66.5,419,250|300|350,Eneste vanlige variant
mercedes-eqc-80,Mercedes-Benz,EQC,2019,2099,80.0,417,400|400 4Matic,Eneste variant
mercedes-eqe-90,Mercedes-Benz,EQE,2022,2099,90.6,639,300|350|500|AMG,EQE Sedan
mercedes-eqs-108,Mercedes-Benz,EQS,2021,2099,107.8,780,450|580|AMG,Luxury sedan
nissan-leaf-24,Nissan,Leaf,2011,2015,24.0,135,24 kWh|24kWh,Foerste generasjon
nissan-leaf-30,Nissan,Leaf,2016,2017,30.0,172,30 kWh|30kWh,Foerste generasjon stoerre batteri
nissan-leaf-40,Nissan,Leaf,2018,2024,40.0,270,40 kWh|40kWh|Acenta|N-Connecta|Tekna,Standard batteri andre gen
nissan-leaf-62,Nissan,Leaf,2019,2024,62.0,385,e+|62 kWh|62kWh|Tekna+,Stort batteri / e+
mg-zsev-44,MG,ZS EV,2019,2099,44.5,263,Comfort|Standard|44 kWh|44kWh,Lite batteri
mg-zsev-70,MG,ZS EV,2019,2099,70.0,440,Luxury|LR|Long Range|70 kWh|70kWh,Stort batteri
mg-4-51,MG,MG4,2022,2099,51.0,350,Standard|Comfort|51 kWh|51kWh,Lite batteri
mg-4-64,MG,MG4,2022,2099,64.0,450,Luxury|Comfort+|64 kWh|64kWh|Trophy|Extended Range,Stort batteri
mg-4-77,MG,MG4,2022,2099,77.0,520,XPower|77 kWh|77kWh|Extended,XPower / 77 kWh
ford-mache-sr,Ford,Mustang Mach-E,2020,2099,75.7,440,SR|Standard Range|Select|Premium,Standard Range
ford-mache-lr,Ford,Mustang Mach-E,2020,2099,98.7,600,LR|Long Range|Extended,Extended Range
ford-mache-gt,Ford,Mustang Mach-E,2021,2099,98.7,500,GT,GT
peugeot-e208-50,Peugeot,e-208,2019,2023,50.0,340,50 kWh|50kWh|GT|Active|Allure,Foerste generasjon
peugeot-e208-51,Peugeot,e-208,2024,2099,51.0,410,51 kWh|51kWh|GT|Active|Allure,Refresh 2024
opel-corsae-50,Opel,Corsa-e,2020,2099,50.0,330,50 kWh|50kWh|GS|Elegance,Eneste variant
opel-mokkae-50,Opel,Mokka-e,2021,2099,50.0,338,50 kWh|50kWh|GS|Elegance,Eneste variant
