Produsent,Modell,variant_id,hjuldrift,drivstoff,årstall,n_obs,median_pris,median_km,p25_pris,p75_pris,std_pris,hurtigpris,innbyttepris,km_slope_pct,km_slope_kilde
ACE,Andre,ikke_klassifisert,Tohjul,Elektrisk,2025,6,149950,2126,139475,153675,12526,139475,127458,-2.522e-06,global
ACE,Ukjent,ikke_klassifisert,Tohjul,Elektrisk,2025,6,156950,50,154900,174675,13197,154900,133408,-2.522e-06,global
Abarth,500,ikke_klassifisert,Tohjul,Bensin,2009,5,130000,145000,129900,148000,19512,129900,110500,0.0,variant
Abarth,500,ikke_klassifisert,Tohjul,Bensin,2010,5,179900,104000,179000,199900,11289,179000,152915,0.0,variant
Abarth,500,ikke_klassifisert,Tohjul,Elektrisk,2024,18,299450,1310,272400,349507,50788,272400,254532,0.0,variant
Alfa,Romeo 159,ikke_klassifisert,Tohjul,Bensin,2010,5,80942,207500,51942,81942,23842,80942,68801,-2.907e-06,variant
Alfa,Romeo 159,ikke_klassifisert,Tohjul,Bensin,2011,5,79000,195500,76900,89000,37170,79000,67150,-2.907e-06,variant
Alfa,Romeo 159,ikke_klassifisert,Tohjul,Diesel,2006,12,23421,233000,14332,31956,12065,19171,19171,-2.907e-06,variant
Alfa,Romeo 159,ikke_klassifisert,Tohjul,Diesel,2007,20,26500,195325,16942,39206,18667,21900,21900,-2.907e-06,variant
Alfa,Romeo 159,ikke_klassifisert,Tohjul,Diesel,2008,21,31942,194570,26990,41942,14746,31942,27151,-2.907e-06,variant
Alfa,Romeo 159,ikke_klassifisert,Tohjul,Diesel,2009,10,58950,213500,34432,69357,32493,34432,34432,-2.907e-06,variant
Alfa,Romeo 159,ikke_klassifisert,Tohjul,Diesel,2010,17,49000,187000,39900,56942,18265,47971,41650,-2.907e-06,variant
Alfa,Romeo 159,ikke_klassifisert,Tohjul,Diesel,2011,8,54900,148000,49910,60942,22606,49910,46665,-2.907e-06,variant
Alfa,Romeo 159 SportWagon,ikke_klassifisert,Tohjul,Diesel,2007,7,59000,152000,37445,62000,20420,24900,24900,-2.522e-06,global
Alfa,Romeo Brera,ikke_klassifisert,Tohjul,Bensin,2006,5,120900,154000,101900,129000,22128,101900,101900,-3.389e-06,variant
Alfa,Romeo GT,ikke_klassifisert,Tohjul,Diesel,2009,6,36400,116050,22150,49900,18822,22150,22150,0.0,variant
Alfa,Romeo Giulia,ikke_klassifisert,Tohjul,Bensin,2017,9,259900,143950,259900,299000,51065,259900,220915,0.0,variant
Alfa,Romeo Giulia,ikke_klassifisert,Tohjul,Bensin,2019,7,304532,99000,291934,319500,30435,291934,258852,0.0,variant
Alfa,Romeo Giulia,ikke_klassifisert,Firehjul,Bensin,2020,12,465000,69000,456826,508250,47967,456826,395250,0.0,variant
Alfa,Romeo Giulia,ikke_klassifisert,Tohjul,Diesel,2016,5,215000,132600,204532,249990,32621,204532,182750,0.0,variant
Alfa,Romeo Giulia,ikke_klassifisert,Tohjul,Diesel,2017,12,244716,102625,214742,262025,37149,244716,208009,0.0,variant
Alfa,Romeo Giulia,ikke_klassifisert,Tohjul,Diesel,2018,10,209000,162000,191500,223408,25459,191500,177650,0.0,variant
Alfa,Romeo Giulia Quadrifoglio,ikke_klassifisert,Tohjul,Bensin,2017,7,834990,98962,829990,874945,37646,829990,709742,-2.522e-06,global
Alfa,Romeo Giulietta,ikke_klassifisert,Tohjul,Bensin,2010,26,30471,177324,20486,45442,23320,19400,19400,-4.353e-06,variant
