,ImplicitDayrate,ImplicitDayrate,ImplicitDayrate,ImplicitDayrate,Count,Count,Count,Count
VesselType,Aframax/LR2,MR,Suezmax,VLCC,Aframax/LR2,MR,Suezmax,VLCC
Date,,,,,,,,
2015-01-01,,,,,4.0,6.0,9.0,14.0
2015-01-02,51568.82720104952,34548.13131849724,45316.57444511419,57334.42237796749,4.0,6.0,9.0,14.0
2015-01-03,51568.82720104952,34548.13131849724,45316.57444511419,57334.42237796749,4.0,6.0,9.0,14.0
2015-01-04,51568.82720104952,34548.13131849724,45316.57444511419,57334.42237796749,4.0,6.0,9.0,14.0
2015-01-05,52005.68245380374,34814.36259584841,45675.158716209735,57800.589301927714,4.0,6.0,9.0,14.0
2015-01-06,57247.945486854456,38009.13792406254,49978.16996935629,63394.592389450336,4.0,6.0,9.0,14.0
2015-01-07,58995.364831400824,39074.06201787552,51412.50568584804,65259.25830700552,4.0,6.0,9.0,14.0
2015-01-08,62490.206853434625,41203.91223668494,54281.17985461242,68988.59369868725,4.0,6.0,9.0,14.0
2015-01-09,63294.516746440204,42641.78748757879,54722.05033900683,71004.44879779228,4.0,6.0,9.0,14.0
2015-01-10,63294.516746440204,42641.78748757879,54722.05033900683,71004.44879779228,4.0,6.0,9.0,14.0
2015-01-11,63294.516746440204,42641.78748757879,54722.05033900683,71004.44879779228,4.0,6.0,9.0,14.0
2015-01-12,69239.58577504675,46367.89903730433,59578.10236260412,77474.25706986288,4.0,6.0,9.0,14.0
2015-01-13,64156.121239289874,43181.80383333602,55425.826228052116,71942.10248158786,4.0,6.0,9.0,14.0
2015-01-14,62088.26914174654,41885.76377951911,53736.76302046665,69691.73220973246,4.0,6.0,9.0,14.0
2015-01-15,58555.69203576701,39671.697585914044,50851.28294925777,65847.35353691653,4.0,6.0,9.0,14.0
2015-01-16,59410.43602208951,39633.52431826106,50693.56530894829,64616.94645936576,4.0,6.0,9.0,14.0
2015-01-17,59410.43602208951,39633.52431826106,50693.56530894829,64616.94645936576,4.0,6.0,9.0,14.0
2015-01-18,59410.43602208951,39633.52431826106,50693.56530894829,64616.94645936576,4.0,6.0,9.0,14.0
2015-01-19,59410.43602208951,39633.52431826106,50693.56530894829,64616.94645936576,4.0,6.0,9.0,14.0
2015-01-20,61087.0694648744,40665.42529033575,52034.826161066936,66370.2608092029,4.0,6.0,9.0,14.0
2015-01-21,56057.172502753376,37569.724445894135,48011.04629760577,61110.321279879965,4.0,6.0,9.0,14.0
2015-01-22,56586.63392350985,37895.58682034801,48434.60093885652,61663.99764288723,4.0,6.0,9.0,14.0
2015-01-23,56998.08691626957,37920.36047439814,48669.48117706085,62221.457082187335,4.0,6.0,9.0,14.0
2015-01-24,56998.08691626957,37920.36047439814,48669.48117706085,62221.457082187335,4.0,6.0,9.0,14.0
2015-01-25,56998.08691626957,37920.36047439814,48669.48117706085,62221.457082187335,4.0,6.0,9.0,14.0
2015-01-26,58676.7455603646,38945.58255222925,50009.09184714563,63981.30147044778,4.0,6.0,9.0,14.0
2015-01-27,57439.83972318507,38190.156083044836,49022.010725439,62684.57458435683,4.0,6.0,9.0,14.0
2015-01-28,56291.28141411284,37488.68688305031,48105.433092779684,61480.46801872428,4.0,6.0,9.0,14.0
2015-01-29,51343.649639628595,34466.97586036974,44157.10188198564,56293.5516410952,4.0,6.0,9.0,14.0
2015-01-30,50239.55603248988,33896.91806583823,43365.44113594516,55121.42799847925,4.0,6.0,9.0,14.0
2015-01-31,50239.55603248988,33896.91806583823,43365.44113594516,55121.42799847925,4.0,6.0,9.0,14.0
2015-02-01,50239.55603248988,33896.91806583823,43365.44113594516,55121.42799847925,4.0,6.0,9.0,14.0
2015-02-02,52887.281630764635,35520.617558437996,45484.07882941342,57896.27617194157,4.0,6.0,9.0,14.0
