Date,VLCC,Suezmax,Aframax/LR2,MR
2010,1347.25,1145.16,1010.44,740.99
2011,1380.93,1173.79,1035.7,759.51
2012,1415.45,1203.14,1061.59,778.5
2013,1450.84,1233.21,1088.13,797.96
2014,1487.11,1264.05,1115.33,817.91
2015,1524.29,1295.65,1143.22,838.36
2016,1562.4,1328.04,1171.8,859.32
2017,1601.46,1361.24,1201.09,880.8
2018,1641.49,1395.27,1231.12,902.82
2019,1682.53,1430.15,1261.9,925.39
2020,1724.59,1465.9,1293.45,948.53
2021,1767.71,1502.55,1325.78,972.24
2022,1811.9,1540.12,1358.93,996.55
2023,1857.2,1578.62,1392.9,1021.46
2024,1903.63,1618.08,1427.72,1047.0
2025,1951.22,1658.54,1463.41,1073.17
2026,2000.0,1700.0,1500.0,1100.0
