month,vessel_type,tce
1990-01-01,aframax,23936.60365
1990-02-01,aframax,18644.95824
1990-03-01,aframax,16221.47687
1990-04-01,aframax,13890.09607
1990-05-01,aframax,16824.38987
1990-06-01,aframax,15374.94028
1990-07-01,aframax,13776.4552
1990-08-01,aframax,12777.55613
1990-09-01,aframax,12882.49115
1990-10-01,aframax,13123.06715
1990-11-01,aframax,15174.49046
1990-12-01,aframax,17773.46268
1991-01-01,aframax,23171.48487
1991-02-01,aframax,29712.30444
1991-03-01,aframax,22742.16183
1991-04-01,aframax,17133.99957
1991-05-01,aframax,20202.29999
1991-06-01,aframax,19165.81996
1991-07-01,aframax,17457.60648
1991-08-01,aframax,16291.70165
1991-09-01,aframax,15443.80891
1991-10-01,aframax,14735.03801
1991-11-01,aframax,13995.38183
1991-12-01,aframax,13060.53557
1992-01-01,aframax,14774.29888
1992-02-01,aframax,11579.6054
1992-03-01,aframax,11991.41209
1992-04-01,aframax,8553.60934
1992-05-01,aframax,7861.14627
1992-06-01,aframax,7114.28815
1992-07-01,aframax,8684.71647
1992-08-01,aframax,8129.04421
1992-09-01,aframax,8037.23592
1992-10-01,aframax,8952.26499
1992-11-01,aframax,10977.48307
1992-12-01,aframax,14183.3736
1993-01-01,aframax,18264.32342
1993-02-01,aframax,15395.4522
1993-03-01,aframax,15262.71641
1993-04-01,aframax,15871.67096
1993-05-01,aframax,15761.70986
1993-06-01,aframax,18044.80473
1993-07-01,aframax,15845.63904
1993-08-01,aframax,12519.27687
1993-09-01,aframax,12012.0052
1993-10-01,aframax,14743.07493
1993-11-01,aframax,15371.0425
1993-12-01,aframax,14613.27267
1994-01-01,aframax,13214.58479
1994-02-01,aframax,12242.86068
1994-03-01,aframax,12947.66116
1994-04-01,aframax,12955.16756
1994-05-01,aframax,12080.92628
1994-06-01,aframax,11876.98027
1994-07-01,aframax,11487.9895
1994-08-01,aframax,12668.3309
1994-09-01,aframax,13712.34858
1994-10-01,aframax,16046.15308
1994-11-01,aframax,19791.30161
1994-12-01,aframax,19042.10844
1995-01-01,aframax,18160.9606
1995-02-01,aframax,15823.19989
1995-03-01,aframax,14204.61792
1995-04-01,aframax,13658.94071
1995-05-01,aframax,12809.03339
1995-06-01,aframax,13723.26357
1995-07-01,aframax,16036.55463
1995-08-01,aframax,17055.97601
1995-09-01,aframax,14662.63368
1995-10-01,aframax,15833.81
1995-11-01,aframax,13714.35539
1995-12-01,aframax,14019.44671
1996-01-01,aframax,21091.43486
1996-02-01,aframax,22140.65303
1996-03-01,aframax,17961.37947
1996-04-01,aframax,19155.86222
1996-05-01,aframax,18255.84013
1996-06-01,aframax,16786.52489
1996-07-01,aframax,15585.51621
1996-08-01,aframax,14610.12883
1996-09-01,aframax,14063.90805
1996-10-01,aframax,16291.33674
1996-11-01,aframax,15175.3707
1996-12-01,aframax,17220.83051
1997-01-01,aframax,22302.35087
1997-02-01,aframax,20498.60141
1997-03-01,aframax,25572.79686
1997-04-01,aframax,24549.99357
1997-05-01,aframax,22490.3826
1997-06-01,aframax,21619.26261
1997-07-01,aframax,18448.70945
1997-08-01,aframax,18599.46498
1997-09-01,aframax,19038.79066
1997-10-01,aframax,22856.05739
1997-11-01,aframax,19268.12977
1997-12-01,aframax,20858.85269
1998-01-01,aframax,20300.34019
1998-02-01,aframax,16946.57987
1998-03-01,aframax,19461.26589
1998-04-01,aframax,16877.57521
1998-05-01,aframax,15616.42769
1998-06-01,aframax,16399.29415
1998-07-01,aframax,17325.7085
1998-08-01,aframax,15696.32925
1998-09-01,aframax,13465.74007
1998-10-01,aframax,13082.72935
1998-11-01,aframax,14895.42374
1998-12-01,aframax,16303.22288
1999-01-01,aframax,17496.52057
1999-02-01,aframax,14760.42161
1999-03-01,aframax,15676.86872
1999-04-01,aframax,14889.68816
1999-05-01,aframax,13157.23732
1999-06-01,aframax,10670.41473
1999-07-01,aframax,9529.98216
1999-08-01,aframax,9747.64477
1999-09-01,aframax,9718.33145
1999-10-01,aframax,9736.85255
1999-11-01,aframax,11012.01795
1999-12-01,aframax,17334.51262
2000-01-01,aframax,17663.99227
2000-02-01,aframax,22289.85253
2000-03-01,aframax,26044.21218
2000-04-01,aframax,23480.27946
2000-05-01,aframax,27744.56063
2000-06-01,aframax,33214.78748
2000-07-01,aframax,39644.98735
2000-08-01,aframax,41235.11978
2000-09-01,aframax,30206.32826
2000-10-01,aframax,44617.73791
