﻿KOMMUNE;KOMMUNENUMMER;Bolig-Norgespris;Bolig-alle;Bolig-andel;Fritid-Norgespris;Fritid-alle;Fritid-andel;incr_oct;incr_nov;incr_dec;incr_Q4;incr_jan;incr_feb;incr_mar;incr_Q1; okt_2025 ; nov_2025 ; des_2025 ; q4_2025 ;jan_2026;feb_2026;mar_2026; q1_2026 ;okt_2024;nov_2024;des_2024; q4_2024 ;jan_2025;feb_2025;mar_2025; q1_2025;Fylke;Region;incr_jan;;MUNICIPALITY_NUMBER;NAME;okt_2024;nov_2024;des_2024;jan_2024;feb_2024;mar_2024;apr_1_5_2024;sum_2024;okt_2025;nov_2025;des_2025;jan_2025;feb_2025;mar_2025;apr_1_5_2025;sum_2025;okt_2026;nov_2026;des_2026;jan_2026;feb_2026;mar_2026;apr_1_5_2026;sum_2026;sesong_2024_2025;sesong_2025_2026;sum_alle_valgte_perioder;;;;;;;
Oslo;301;167219;356582;0,47;0;160;0 %;2 %;-2 %;-5 %;-2 %;13 %;19 %;6 %;13 %; 321 192 206 ; 399 715 774 ; 438 207 568 ; 1 159 115 548 ; 591 215 218 ; 535 080 365 ; 423 246 560 ; 1 549 542 142 ; 316 332 845 ; 408 288 115 ; 459 895 733 ; 1 184 516 692 ; 520 894 486 ; 451 007 566 ; 399 764 269 ; 1 371 666 320 ;Oslo;NO1;0,095;0;301;Oslo;316332844,9;408288114,7;459895732,8;589707011,3;471650466,5;418381457,8;67568859,77;2731824488;321192205,7;399715773,6;438207568,4;520894485,8;451007565,6;399764268,9;52063212,49;2582845080;;;;591215218;535080364,6;423246559,6;44350240,52;1593892383;2608246225;2753007930;6908561951;;;;;;;
Eigersund;1101;5156;6941;0,74;923;1124;82 %;4 %;3 %;3 %;3 %;22 %;23 %;9 %;19 %; 8 535 233 ; 10 707 709 ; 11 961 620 ; 31 204 562 ; 16 092 927 ; 14 074 960 ; 11 673 606 ; 41 841 493 ; 8 203 693 ; 10 386 535 ; 11 662 156 ; 30 252 385 ; 13 141 241 ; 11 435 211 ; 10 694 062 ; 35 270 513 ;Rogaland;NO2;0,148;0;1101;Eigersund;8203693,047;10386535,44;11662156,1;14607386,02;11853000,22;11182418,9;1702779,754;69597969,47;8535233;10707708,97;11961620,33;13141240,59;11435210,67;10694061,89;1423828,41;67898903,85;;;;16092927,36;14074959,72;11673606,41;1462968,733;43304462,22;66946726,15;74509024,52;180801335,5;;;;;;;
Stavanger;1103;44912;68920;0,65;1475;1979;75 %;7 %;5 %;3 %;5 %;23 %;23 %;12 %;20 %; 75 044 193 ; 94 328 002 ; 104 245 688 ; 273 617 883 ; 138 044 453 ; 119 493 073 ; 104 089 710 ; 361 627 237 ; 70 449 510 ; 89 801 132 ; 100 775 523 ; 261 026 166 ; 112 352 954 ; 97 414 380 ; 92 690 588 ; 302 457 922 ;Rogaland;NO2;0,167;0;1103;Stavanger;70449510,3;89801132,14;100775523,1;123604990,4;100448559,5;93207613,05;14378996,8;592666325,3;75044193,36;94328001,9;104245687,8;112352954,3;97414379,94;92690587,88;11987925,34;588063730,5;;;;138044453,5;119493073,3;104089710,2;12165486,8;373792723,8;575472013;647410606,8;1554522780;;;;;;;
Haugesund;1106;12491;19524;0,64;0;156;0 %;7 %;6 %;2 %;5 %;22 %;21 %;14 %;19 %; 19 856 884 ; 24 907 755 ; 27 044 148 ; 71 808 787 ; 36 061 056 ; 30 835 826 ; 27 407 271 ; 94 304 153 ; 18 642 160 ; 23 458 023 ; 26 435 903 ; 68 536 085 ; 29 469 373 ; 25 464 965 ; 24 132 947 ; 79 067 285 ;Rogaland;NO2;0,158;0;1106;Haugesund;18642159,52;23458023,04;26435902,93;31687031,72;26592702,18;24507725,32;3798802,911;155122347,6;19856884,11;24907754,64;27044147,84;29469372,87;25464964,86;24132947,3;3151677,416;154027749;;;;36061056,35;30835825,72;27407270,84;3243922,074;97548074,99;150755047,9;169356861,6;406698171,6;;;;;;;
Sandnes;1108;23517;35637;0,66;1881;2431;77 %;5 %;4 %;3 %;4 %;22 %;20 %;10 %;18 %; 41 967 008 ; 52 371 163 ; 57 836 651 ; 152 174 821 ; 75 968 936 ; 65 271 266 ; 56 274 583 ; 197 514 785 ; 39 939 737 ; 50 438 283 ; 55 984 192 ; 146 362 212 ; 62 248 480 ; 54 217 363 ; 51 008 980 ; 167 474 823 ;Rogaland;NO2;0,157;0;1108;Sandnes;39939736,78;50438283,49;55984191,77;68149979,24;54909970,63;51533433,01;7886746,74;328842341,7;41967007,68;52371162,59;57836650,54;62248480,28;54217363,17;51008979,67;6746711,768;326396355,7;;;;75968935,77;65271266,36;56274582,86;6748009,222;204262794,2;320583746,9;356437615;859501491,6;;;;;;;
Sokndal;1111;1206;1671;0,72;271;346;78 %;3 %;3 %;4 %;4 %;25 %;27 %;11 %;22 %; 1 892 340 ; 2 393 590 ; 2 732 242 ; 7 018 172 ; 3 690 568 ; 3 247 250 ; 2 653 730 ; 9 591 547 ; 1 832 165 ; 2 316 699 ; 2 619 287 ; 6 768 151 ; 2 946 102 ; 2 555 677 ; 2 391 838 ; 7 893 617 ;Rogaland;NO2;0,175;0;1111;Sokndal;1832165,126;2316698,645;2619287,229;3336245,734;2679950,182;2574479,112;388616,082;15747442,11;1892339,546;2393590,278;2732241,948;2946102,473;2555676,662;2391838,281;323101,486;15234890,67;;;;3690567,593;3247249,753;2653729,854;342630,906;9934178,106;14984869,9;16952349,88;40916510,89;;;;;;;
Lund;1112;1042;1460;0,71;324;412;79 %;2 %;3 %;3 %;3 %;22 %;24 %;12 %;20 %; 1 818 515 ; 2 293 018 ; 2 594 927 ; 6 706 460 ; 3 492 851 ; 3 123 097 ; 2 578 217 ; 9 194 165 ; 1 784 138 ; 2 230 477 ; 2 519 720 ; 6 534 335 ; 2 856 203 ; 2 519 904 ; 2 300 443 ; 7 676 550 ;Rogaland;NO2;0,161;0;1112;Lund;1784137,717;2230477,133;2519720,25;3160858,682;2591314,851;2423313,35;361144,056;15070966,04;1818514,755;2293018,045;2594927,044;2856203,024;2519903,508;2300443,234;306053,942;14689063,55;;;;3492850,858;3123097,328;2578217,233;343888,354;9538053,773;14516938,81;16244513,62;39298083,36;;;;;;;
Bjerkreim;1114;714;1049;0,68;593;711;83 %;4 %;5 %;4 %;4 %;24 %;26 %;14 %;22 %; 1 887 713 ; 2 348 682 ; 2 652 343 ; 6 888 739 ; 3 564 134 ; 3 144 841 ; 2 622 657 ; 9 331 633 ; 1 813 757 ; 2 241 271 ; 2 543 587 ; 6 598 614 ; 2 881 973 ; 2 490 817 ; 2 306 226 ; 7 679 016 ;Rogaland;NO2;0,165;0;1114;Bjerkreim;1813756,76;2241271,091;2543586,541;3176928,568;2604591,909;2465413,904;365882,773;15211431,55;1887713,443;2348682,38;2652343,085;2881972,993;2490817,21;2306225,754;304664,942;14872419,81;;;;3564134,487;3144841,217;2622657,467;363748,313;9695381,484;14582295,29;16584120,39;39779232,84;;;;;;;
Hå;1119;5203;7579;0,69;438;523;84 %;4 %;4 %;2 %;3 %;22 %;22 %;10 %;18 %; 9 760 532 ; 11 953 874 ; 13 261 453 ; 34 975 859 ; 17 382 338 ; 15 171 070 ; 13 092 518 ; 45 645 926 ; 9 359 900 ; 11 511 608 ; 13 015 309 ; 33 886 817 ; 14 287 046 ; 12 418 201 ; 11 869 071 ; 38 574 318 ;Rogaland;NO2;0,153;0;1119;Hå;9359900,101;11511607,93;13015308,84;15421291,46;12755275,25;12126624,13;1873121,595;76063129,3;9760532,131;11953873,9;13261453,16;14287046,5;12418201,18;11869070,7;1577041,597;75127219,16;;;;17382337,99;15171069,92;13092518,24;1600591,248;47246517,39;74038176,84;82222376,58;198436865,9;;;;;;;
Klepp;1120;4873;7577;0,64;114;158;72 %;4 %;3 %;2 %;3 %;21 %;20 %;9 %;17 %; 10 077 046 ; 12 498 623 ; 13 817 501 ; 36 393 170 ; 18 059 026 ; 15 597 726 ; 13 527 082 ; 47 183 834 ; 9 734 050 ; 12 079 750 ; 13 522 933 ; 35 336 734 ; 14 981 386 ; 13 021 073 ; 12 355 669 ; 40 358 128 ;Rogaland;NO2;0,149;0;1120;Klepp;9734050,44;12079750,23;13522933,44;16234754,57;13214947,16;12480719,15;1915882,781;79183037,76;10077045,79;12498623,15;13817500,58;14981386,02;13021072,8;12355668,99;1634229,851;78385527,17;;;;18059026,33;15597725,82;13527082,32;1611139,008;48794973,47;77329091,75;85188142,99;206363538,4;;;;;;;
