KOMMUNE;KOMMUNENUMMER;Bolig-Norgespris;Bolig-alle;Bolig-andel;Fritid-Norgespris;Fritid-alle;Fritid-andel;incr_oct;incr_nov;incr_dec;incr_Q4; okt_2025 ; nov_2025 ; des_2025 ; q4_2025 ; okt_2024 ; nov_2024 ; des_2024 ; q4_2024 ;Fylke;Region
Oslo;301;167219;356582;0,47;0;160;0 %;0,015;-0,021;-0,047;-0,022;321200287;399692666;438162660;1159055613;316368451;408323671;459933198;1184625320;Oslo;NO1
Eigersund;1101;5156;6941;0,74;923;1124;82 %;0,04;0,031;0,025;0,031;8534497;10704353;11957164;31196014;8203693;10386535;11662156;30252385;Rogaland;NO2
Stavanger;1103;44912;68920;0,65;1475;1979;75 %;0,065;0,05;0,034;0,048;74993150;94237845;104139967;273370963;70385348;89714830;100674619;260774797;Rogaland;NO2
Haugesund;1106;12491;19524;0,64;0;156;0 %;0,065;0,062;0,022;0,047;19872315;24930399;27048936;71851651;18658286;23477893;26457828;68594008;Rogaland;NO2
Sandnes;1108;23517;35637;0,66;1881;2431;77 %;0,051;0,038;0,033;0,04;41963158;52368061;57824295;152155513;39939428;50437662;55983165;146360256;Rogaland;NO2
Sokndal;1111;1206;1671;0,72;271;346;78 %;0,034;0,034;0,043;0,038;1894271;2394623;2733225;7022119;1832165;2316699;2619287;6768151;Rogaland;NO2
Lund;1112;1042;1460;0,71;324;412;79 %;0,019;0,028;0,03;0,027;1818851;2293588;2595941;6708380;1784138;2230477;2519720;6534335;Rogaland;NO2
Bjerkreim;1114;714;1049;0,68;593;711;83 %;0,036;0,045;0,04;0,041;1878539;2341069;2646325;6865932;1813757;2241271;2543587;6598614;Rogaland;NO2
Hå;1119;5203;7579;0,69;438;523;84 %;0,043;0,038;0,019;0,032;9757554;11945835;13254447;34957837;9357141;11507983;13010921;33876046;Rogaland;NO2
Klepp;1120;4873;7577;0,64;114;158;72 %;0,035;0,035;0,022;0,03;10077176;12501686;13817574;36396436;9734056;12079825;13523199;35337080;Rogaland;NO2
Time;1121;6279;9030;0,7;0;15;0 %;0,063;0,056;0,048;0,055;10690998;13224358;14746532;38661888;10057341;12518415;14065896;36641652;Rogaland;NO2
Gjesdal;1122;3309;4968;0,67;516;638;81 %;0,04;0,03;0,013;0,026;6736380;8320272;9176985;24233637;6478529;8080748;9063218;23622496;Rogaland;NO2
