baseId,name,shortName,county,country,lat,lon,validFrom,validTo
SN20952,STATFJORD C,Statfjord C,NORDSJØEN,Norge,61.2847,1.9025,1985-06-26T00:00:00.000Z,
SN55000,LUSTER - ORNES,Luster − Ornes,VESTLAND,Norge,61.299413,7.313199,1987-05-01T00:00:00.000Z,
SN12590,E6 MJØSBRUA,E6 Mjøsbrua,INNLANDET,Norge,60.92824,10.67016,2011-01-01T00:00:00.000Z,
SN65470,HEMNFJORDEN - FUGLØYA,Fugløya,TRØNDELAG,Norge,63.4759,9.1098,2026-02-12T00:00:00.000Z,
SN67650,FV30 REITSTØA,Fv30 Reitstøa,TRØNDELAG,Norge,62.96367,10.87183,2018-11-27T00:00:00.000Z,
SN68090,TRONDHEIM - GRANÅSEN,Granåsen,TRØNDELAG,Norge,63.3757259,10.3123892,2024-11-20T00:00:00.000Z,
SN57790,MYKLEBUSTFJELLET,Myklebustfjellet,VESTLAND,Norge,61.6788,5.2007,2014-10-31T00:00:00.000Z,
SN27860,KVELDE,Kvelde,VESTFOLD,Norge,59.2203,9.983,2006-04-26T00:00:00.000Z,
SN61065,E136 TRESFJORDBRUA,Tresfjordbrua,MØRE OG ROMSDAL,Norge,62.6112,7.1135,2016-04-12T00:00:00.000Z,
SN18700,OSLO - BLINDERN,Oslo (Blindern),OSLO,Norge,59.9423,10.72,1931-01-01T00:00:00.000Z,
SN87110,ANDØYA,Andøya LH,NORDLAND,Norge,69.3073,16.1312,1958-06-01T00:00:00.000Z,
SN40250,VALLE,Valle,AGDER,Norge,59.1971158,7.5273388,1872-01-01T00:00:00.000Z,
SN40905,RV9 BJÅEN,Rv9 Bjåen,AGDER,Norge,59.64067,7.45533,2013-07-24T00:00:00.000Z,
SN49240,RV13 LÅTEFOSS,Rv13 Låtefoss,VESTLAND,Norge,59.94867,6.58317,2011-01-01T00:00:00.000Z,
SN77295,SVENNINGDAL,Svenningdal,NORDLAND,Norge,65.4347,13.396,2024-09-30T00:00:00.000Z,
SN76963,KRISTINFELTET,Kristin,NORSKEHAVET,Norge,64.994,6.5513,2014-01-01T00:00:00.000Z,
SN80740,REIPÅ,Reipå,NORDLAND,Norge,66.9035,13.646,1995-07-01T00:00:00.000Z,
SN90295,SESSØYA,Sessøya,TROMS,Norge,69.75,18.25,2025-01-14T00:00:00.000Z,
SN490381002,300 KV SAUDA – BLÅFALLI-2,300 kV Sauda – Blåfalli-2,,Norge,59.66898,6.40633,2025-04-22T13:01:13.000Z,
SN20961,ALVHEIM,Alvheim,NORDSJØEN,Norge,59.5722,1.9917,2026-01-09T00:00:00.000Z,
SN26990,SANDE - GALLEBERG,Galleberg,VESTFOLD,Norge,59.6193334,10.2150378,1995-01-01T00:00:00.000Z,
SN71230,FV755 MELTINGEN,Fv755 Meltingen,TRØNDELAG,Norge,63.7905,10.73033,2014-09-11T00:00:00.000Z,
SN490387067,300 KV BLÅFALLI – MAURANGER-67,300 kV Blåfalli – Mauranger-67,,Norge,60.06502,6.04221,2025-04-22T13:01:12.000Z,
SN8840,BARKALD,Barkald,INNLANDET,Norge,61.992005,10.886351,2024-12-09T00:00:00.000Z,
SN60670,FV650 LIABYGDA,Fv650 Liabygda,MØRE OG ROMSDAL,Norge,62.3285,7.06633,2014-09-11T00:00:00.000Z,
SN63595,RV70 GRÅURA,Rv70 Gråura,TRØNDELAG,Norge,62.58183,9.21367,2014-09-11T00:00:00.000Z,
SN94198,E6 LEVDDON,E6 Levddon,FINNMARK,Norge,70.176402,23.891902,2025-12-10T00:00:00.000Z,
SN90250,E6 HEIA,E6 Heia,TROMS,Norge,69.14483,19.05033,2004-12-24T00:00:00.000Z,
SN76954,GJØAFELTET,Gjøafeltet,NORDSJØEN,Norge,61.3322,3.897,2010-11-07T00:00:00.000Z,
SN76927,OSEBERG A,Oseberg A,NORDSJØEN,Norge,60.4913,2.8257,1988-01-01T00:00:00.000Z,
