baseId,name,shortName,county,country,lat,lon,validFrom,validTo
SN76999,SCARABEO 8,Scarabeo 8 ,KONTINENTALSOKKELEN,Norge,,,2014-10-29T00:00:00.000Z,
SN77049,MS ASTERIX,M/S Asterix,,Norge,,,2024-12-12T00:00:00.000Z,
SN77043,DEEPSEA NORDKAPP,Deepsea Nordkapp ,KONTINENTALSOKKELEN,Norge,,,2021-03-26T00:00:00.000Z,
SN77055,MS BARD,MS Bard,,Norge,,,2025-08-06T00:00:00.000Z,
SN77037,MS NORDBJØRN,NORDBJØRN,,Norge,,,2019-10-07T00:00:00.000Z,
SN77046,MS BILLEFJORD,MS Billefjord,,Norge,,,2024-11-15T00:00:00.000Z,
SN77001,G.O. SARS,G. O. Sars,,Norge,,,1950-02-14T00:00:00.000Z,
SN20930,POLARSTERN,Polarstern,,Norge,,,1982-12-09T00:00:00.000Z,
SN76950,WEST VENTURE,West Venture,KONTINENTALSOKKELEN,Norge,,,1982-05-25T00:00:00.000Z,
SN69090,PARKENFTVAERNESAUTO,,,Norge,0.0,0.0,2011-09-29T00:00:00.000Z,
SN77048,MS T.A. SENIOR,M/S TA Senior,,Norge,,,2024-12-12T00:00:00.000Z,
SN77006,JOHAN HJORT,Johan Hjort,,Norge,,,1991-01-01T00:00:00.000Z,
SN77051,MS POLARGIRL,MS Polargirl,,Norge,,,2025-02-11T00:00:00.000Z,
SN76946,ROSS RIG,Ross Rig,KONTINENTALSOKKELEN,Norge,,,1980-10-01T00:00:00.000Z,
SN77000,POLARBJØRN,M/V Polarbjørn,,Norge,,,1983-06-01T00:00:00.000Z,
SN77035,KRONPRINS HAAKON,Kronprins Haakon,,Norge,,,2018-06-18T00:00:00.000Z,
SN77029,WEST HERCULES,West Hercules,KONTINENTALSOKKELEN,Norge,,,2018-01-09T00:00:00.000Z,
SN77032,TRANSOCEAN ENABLER,Enabler,KONTINENTALSOKKELEN,Norge,,,2017-03-03T00:00:00.000Z,
SN77005,FF HELMER HANSSEN,FF HelmerHanssen,,Norge,,,1993-06-01T00:00:00.000Z,
SN20931,STATSRAAD LEHMKUHL,Statsraad Lehmkuhl,,Norge,,,1952-05-19T00:00:00.000Z,
